timestamp,open,high,low,close,volume,buy_volume,sell_volume
2025-01-01T09:30:00,100.00,100.10,99.90,100.05,1000.0,600.0,400.0
2025-01-01T09:31:00,100.05,100.15,99.95,100.10,1050.0,640.0,410.0
2025-01-01T09:32:00,100.10,100.20,100.00,100.15,1100.0,680.0,420.0
2025-01-01T09:33:00,100.15,102.50,100.00,102.50,5000.0,4500.0,500.0
2025-01-01T09:34:00,102.50,102.50,100.50,100.55,5000.0,500.0,4500.0
2025-01-01T09:35:00,100.55,102.50,100.05,102.50,5000.0,4500.0,500.0
2025-01-01T09:36:00,102.50,102.80,102.35,102.70,1500.0,950.0,550.0
2025-01-01T09:37:00,102.70,102.90,102.60,102.75,1500.0,950.0,550.0
2025-01-01T09:38:00,102.75,103.00,102.70,102.80,1500.0,950.0,550.0
2025-01-01T09:39:00,102.80,102.80,99.70,99.70,5500.0,500.0,5000.0
2025-01-01T09:40:00,99.70,102.20,99.20,102.20,5000.0,4750.0,250.0
2025-01-01T09:41:00,102.20,102.20,100.20,100.70,5200.0,600.0,4600.0
2025-01-01T09:42:00,100.70,100.90,100.60,100.75,1200.0,700.0,500.0
2025-01-01T09:43:00,100.75,100.95,100.70,100.80,1200.0,700.0,500.0
2025-01-01T09:44:00,100.80,101.00,100.75,100.85,1200.0,700.0,500.0
